Maximum_Temp,Minimum_Temp,Wind_Speed,weather
12.8,5,4.7,drizzle
10.6,2.8,4.5,rain
11.7,7.2,2.3,rain
12.2,5.6,4.7,rain
8.9,5.5,6.1,rain
4.4,2.2,2.2,rain
7.2,2.8,2.3,rain
10,2.8,2,sun
9.4,5,3.4,rain
6.1,0.6,3.4,rain
6.1,-1.1,5.1,sun
6.1,-1.7,1.9,sun
5,-2.8,1.3,sun
4.4,0.6,5.3,snow
1.1,-3.3,3.2,snow
1.7,-2.8,5,snow
3.3,0,5.6,snow
0,-2.8,5,snow
-1.1,-2.8,1.6,snow
7.2,-1.1,2.3,snow
8.3,3.3,8.2,rain
6.7,2.2,4.8,rain
8.3,1.1,3.6,rain
10,2.2,5.1,rain
8.9,4.4,5.4,rain
8.9,1.1,4.8,rain
6.7,-2.2,1.4,drizzle
6.7,0.6,2.2,rain
9.4,3.9,4.5,rain
8.3,6.1,5.1,rain
9.4,6.1,3.9,rain
8.9,3.3,2.7,rain
8.3,1.7,2.6,sun
14.4,2.2,5.3,sun
15.6,5,4.3,sun
13.9,1.7,2.9,sun
16.1,1.7,5,sun
15.6,7.8,5.3,rain
10,5,2.7,rain
11.1,7.8,2.4,rain
12.8,6.7,3,rain
8.9,5.6,3.4,rain
8.3,5,1.3,rain
7.2,4.4,1.4,rain
6.7,1.1,3.1,rain
7.2,0.6,1.8,drizzle
7.2,3.3,2.1,rain
10,4.4,3.4,rain
6.7,3.9,8.1,rain
6.7,2.2,4.7,sun
7.8,1.7,2.9,rain
10,7.8,7.5,rain
10,2.8,5.9,rain
8.3,2.8,3.9,sun
6.7,4.4,3.5,rain
7.2,2.8,6.4,rain
5,-1.1,3.4,snow
6.7,-2.2,3,sun
6.7,-0.6,4.2,snow
5,1.1,7,snow
6.1,1.1,3.1,sun
6.7,3.9,5.1,rain
12.2,6.7,7,sun
10.6,6.7,5.6,rain
7.8,1.1,6.2,rain
6.7,0,2.7,snow
8.9,-1.7,2.7,sun
15.6,0.6,2.5,sun
9.4,5,2.8,rain
7.2,6.1,3.4,rain
6.7,2.8,5.8,rain
8.3,0.6,6.2,snow
5.6,0.6,5.3,snow
7.8,1.1,4.7,rain
11.1,5.6,5.8,snow
8.9,3.9,5.1,rain
10,0.6,3.8,snow
5,-0.6,2.7,rain
7.2,-1.1,3,rain
7.8,2.2,6.4,rain
8.9,1.1,2.5,rain
10,1.7,2.1,rain
12.2,0.6,2.8,sun
15,3.3,5.2,sun
13.3,2.2,2.7,rain
12.8,6.1,4.3,drizzle
14.4,6.7,3.8,rain
10.6,7.2,5.9,rain
10,6.1,4.4,rain
9.4,5,4.7,rain
10,2.8,3.4,rain
8.9,4.4,6.8,rain
16.7,4.4,3.1,sun
11.7,3.3,3.1,rain
10.6,2.8,2.1,sun
9.4,2.8,1.8,snow
11.1,3.3,2.6,rain
16.1,1.7,4.3,sun
21.1,7.2,4.1,sun
20,6.1,2.1,sun
17.8,8.9,3.2,rain
11.1,7.2,2.6,rain
13.9,5.6,2.6,rain
15,3.9,4,drizzle
15.6,3.3,3,sun
16.1,7.2,2.9,rain
13.3,6.7,5.8,rain
10,4.4,2,rain
13.3,7.2,3.9,rain
13.9,5,2.6,rain
13.3,6.7,2.7,rain
20,4.4,2.3,sun
23.3,8.3,2.6,rain
21.7,8.9,3.5,sun
13.9,10,2.8,rain
16.7,8.9,2.6,rain
13.9,6.7,5.2,rain
13.3,6.1,4.8,rain
16.1,8.3,2.5,drizzle
15.6,8.9,1.6,rain
12.8,7.2,8,rain
11.7,6.1,6.4,rain
13.3,5.6,2.5,rain
11.1,7.2,3.4,rain
12.2,6.1,4.6,rain
13.3,5,2.3,sun
17.8,5,2.4,sun
23.9,6.1,2.2,sun
18.3,9.4,3,sun
13.3,6.7,3.9,rain
14.4,3.9,3,sun
18.3,4.4,4.3,sun
24.4,6.7,3.4,sun
25.6,9.4,4.2,sun
26.7,12.8,3.8,sun
24.4,9.4,4.1,drizzle
19.4,9.4,3.5,sun
17.8,6.7,2.9,rain
15.6,7.8,3.1,rain
19.4,7.2,1.5,sun
14.4,11.7,1.3,rain
16.7,10,4,rain
12.8,8.9,4.8,rain
14.4,8.9,6.3,rain
17.2,8.9,3.3,rain
22.2,8.9,3.1,rain
22.2,8.9,3.6,sun
17.2,11.7,3.7,sun
16.7,10,3.4,rain
16.1,7.8,1.8,sun
18.9,11.1,1.5,rain
17.8,12.2,2.7,rain
20,12.8,3.7,rain
18.9,10.6,3.7,rain
17.2,9.4,2.9,sun
12.8,8.9,3.1,rain
13.3,8.3,3.3,rain
16.1,6.1,3.4,sun
16.1,8.9,3.5,rain
15,8.3,3,rain
17.2,8.3,4.7,rain
18.9,10,2.9,sun
23.3,10,1.8,rain
18.3,12.8,3.9,rain
16.1,11.1,4.3,sun
17.2,10,2.7,sun
22.2,9.4,1.7,sun
